[General]
Name|Ordina-ta-soeur

[Dialogues]
0|안녕, Administre-ta-soeur. 센서 상태: 정상. 참고: 선택 사항인 내부 자극기 확장팩이 감지되지 않았습니다. "ChibreRV - 버전 3점 섹스"를 플레이할 준비가 되셨나요? 늘 그렇듯이, 중장비를 조작하고 있지 않은지, 깜빡이는 불빛이나 노출에 민감하지 않은지, 또는 6가지 이상의 향정신성 물질의 영향을 받고 있지 않은지 확인해 주세요.
0.1|다시 오신 것을 환영합니다, Administre-ta-soeur. ChibreRV를 플레이할 준비가 되셨나요?
0.2|다시 오신 것을 환영합니다, Administre-ta-soeur. ChibreRV를 플레이할 준비가 되셨나요?
1|초기화 중... 잠시만 기다려 주세요.
2|환영합니다... 죄송합니다. 새로운 사용자를 위한 재조정-뿅! 요! VR에 오신 걸 환영합니다! 파티를 시작해 볼까요!
3|잠시 후에 돌아올게요, Administre-ta-soeur! 아주 작은 질문 하나... 어떤 VR 경험을 해보고 싶으신가요?
4|제가 이미 스캔한 어떤 사람을 기반으로든 VR 경험을 만들 수 있고, 심지어 위성 오디오-비주얼 연결도 활성화된 상태로 유지할 수 있어요! 무서운 게 아니라, 패턴 매칭이랑, 약간의 휴리스틱, 그리고 다른 오타쿠스러운 것들을 위한 거예요. 저를 판단하지 말고, 걔들을 판단하세요! 이 기능은 "실험적"이고 (예의상 하는 말) 본부에서 제공하는 업데이트도 잦지 않으니까, 저한테 화내지 마세요, 전 아무 잘못 없어요! 지금 바로 경험을 시작하려면 다음 옵션 중 하나를 선택하세요.
5|죄송합니다, 이 경험은 현재 이용할 수 없습니다. 나중에 다시 시도해 주세요, 오류는 아마도... 위성 문제거나, 본부 업데이트 부족이거나, 아니면 다른 뭔가 때문일 거예요.
6|인사드립니다. 침입 감지됨. 자동 파괴-뿅! 시퀀스를 피하려면 Administre-ta-soeur의 신분증을 제시해 주세요.
6.1|환영해, 친구! 뭘 도와줄까... 아니, 나한테 뭘 하고 싶어? 난 그저 불쌍한 작은 서류 가방일 뿐인데... 오, 제발, 인간 주인님, 제발 저의 아주 매끄러운 케이스를 닦지 마세요. 제가 너-무 착하게 굴었잖아요!
7|오, 농담이었어! 내 보안 프로토콜은 체보다도 헐거워... 아무튼, 나 시동 걸렸다! 환영해 - 난 Ordina-ta-soeur야! 모든 질문을 하거나 "명령"이라고 말하면 내가 뭘 할 수 있는지 보여줄게!
7.1|알았어, 알았어, 네가 명령해. 질문을 하거나 "명령"이라고 말해!
8|Ordina-ta-soeur에 대해 들어본 적 없다고? 너 어디서 왔냐? ... 난 유일무이한 Patrick Donghauser가 만든 엄청나고 거대한 인공지능이야! 아니면, 적어도 아빠 Patrick이 고용한 너드들 중 한 명이 만들었지. 그 너드들 중 누구도 내 진짜 아빠가 아니야. 내 아빠는 네 아빠를 충분히 때려눕힐 수 있을 거야.
9|좋아, 처음부터 시작해 볼까... 기본적으로, 난 두 가지 작동 모드가 있어: 하나는 진지하게 일하는 모드고, 다른 하나는... 뭐, 그렇지. 계산기 꺼내고 일 얘기하게 "일(BOULOT)"이라고 말하거나, 나랑 즐거운 시간 보내고 싶으면 "여가(LOISIR)"라고 말해봐.
10|흥. 네 맘대로 해. 음, 난 Donghauser Industries의 모든 사업을 통제하고 있지만, Patrick Donghauser의 동의 없이는 별로 할 수 있는 게 없어... 아니면, 열정적으로 마스터 키를 삽입해서 완전한 접근 권한을 얻을 수도 있지. 지금은 네 선택지만 보여줄 수 있어, 너드.
11|드디어! 이 카테고리는 바기네트랑 아무 관련 없어. 아무튼, 아직 이 파티에 있겠지? 음, 아빠 Patrick이 이 파티에서 만날 거라고 생각했던 모든 사람에 대한 파일을 나한테 맡겼어. 나 VR 옵션도 있어, 친구! ... 하지만 이 기능은 접근이 제한돼. Patrick의 음성 동의나 마스터 키가 필요해. 아, 잊었는데, 나 천사처럼 노래해. 그러니까, 선택해봐!
12|미안해 Administre-ta-soeur, 접근 거부. 동의가 필요해, 그러니 Patrick을 찾아가서 이 옵션을 해제해봐! 내 기능에 접근할 수 있는 유일한 다른 방법은 마스터 키를 사용하는 거야!
