[General]
Name|Doja Cat

[Dialogues]0|별일 없어?
0.1|워우. 네 기운이 이상하네... 뭐, 어쨌든, 뭘 원해?
0.2|오, 안녕. 무슨 일이야, 내 대단한 파다완?
1|내 말이 그 말이야. 목표에 시선을 고정해야지, 안 그래?
2|필요 없어. 정말이야.
3|젠장. 너무해. 뒤져버려, 썩어빠진 인간 쓰레기!
4|오 마이 갓, 이건 나랑 Dinolicious야. 내 순간이야. 정말 이런 일이 벌어지고 있어. 세기의 젠장할 콜라보... 10년 만의 젠장할 콜라보!
5|닥쳐! 할 거면 제대로 해야지. 나한테 계획이 있어... 4단계로 이루어진 멋진 계획. 난 그걸 "Doja의 Dinolicious 댄스 축제 정신 나간 파티"라고 이름 붙였어!
6|넌 이 4단계 계획을 실행해야 하고, 각 단계는 네가 원하는 순서대로 처리할 수 있어. 하지만 내가 무대에 오르기 전에 모든 단계가 완료되어야 해.
7|시작으로, 내 공연을 위한 무대가 필요해. 그게 사실 계획의 첫 번째 부분이야. 보안, 라이브 스트림, 촬영 팀도 필요할 거야. 아마 무대부터 짓기 시작해야 할 거야... 하지만 넌 네 멋대로 하는 타입 같으니까, 순서는 네가 결정해.
7.1|별일 없어?
8|좋아. 난 디바는 아니지만, Doja는 무대가 있어야 해. 사람들이 춤추기를 원해, 나와 Dinolicious가 우리가 슈퍼스타인 것처럼 전면에 나서서 말이야!
9|아마 넌 내가 Derek에게 전 세계가 우리 콜라보를 볼 거라고 말하는 걸 들었을 거야. 그러려면 저 디지털 광고판을 해킹해야 할 거야. 그거 있잖아, 좆을 줄어들게 만드는 에너지 드링크 광고 나오는 거. Mr. Robot 같은 엉뚱한 걸 요구하는 건 알지만, 넌 광고판 스트림을 해킹할 수 있는 기술을 가진 사람을 찾아야 해. 이 해킹으로 우리는 이 공연을 온라인뿐만 아니라 젠장할 동네 전체에 방송할 수 있을 거야!
10|좋아, 다시 Doja 팬들 얘기로 돌아가자. 걔네들 완전히 미쳤어. 우리 공연이 방송되자마자, 춤추고, 섹스하고, 싸우려고... 아니면 이 모든 걸 동시에 하려고 Madison의 집 현관문을 부수려 할 거야. 오해하지 마, 셋 다 내가 제일 좋아하는 활동이지만, Dinolicious와의 이번 콜라보는 완벽해야 해. 넌 문 앞에 덩치 큰 새끼들을 세워서 바리케이드를 쳐야 해, 팬들이 모든 걸 망치지 못하게 말이야.
11|Doja - Dinolicious 콜라보를 영원히 남길 카메라맨이 필요해... 그리고 난 전문가를 말하는 거야! 완벽하게 노출된 가슴이나 엉덩이를 포착하는 데 인생을 바친 교활한 사람이 완벽할 거야. 마치 포르노 영화 감독처럼 말이야. 이 사람이 감옥에 갈 준비가 되어 있는지도 확인해줘. 이 장비는 Lizzo 투어에서 훔쳤어. 이걸로 충분할 거야!
