[General]
Name|Liz Katz

[Dialogues]
0|안녕하다는 흔한 멘트야. 미안. 근데 진짜로, 안녕!
0.1|여기가 Madison의 집이지, 그렇지? 그녀의 사촌의 잘린 머리를 그녀의 건조기에 넣어서, 그녀의 입에 쑤셔 넣어진 단서를 얻을 수 있을 만큼 충분히 해동시키는 것을 그녀가 싫어하지 않기를 바라.
0.2|저 칼로 에어컨 블록을 찌른 사람은 진짜 사이코패스일 거야. 흥분되지 않아?
0.3|Katz 형사, 당신의 자궁경부에! 하, 하, 하. 항상 말하고 싶었어.
0.4|이 가상 현실 여행은 진짜 수수께끼였어. 저 Patrick이라는 사람은 정말 대단한 사람 같아.
0.5|정말 화끈해! 마치 "레디 플레이어 원"과 "레저 수트 래리"가 아기를 낳고, 맥도날드 야간 관리자에게 입양을 보낸 것 같아. 그리고 그 아기는 자라서 그 가족에서 처음으로 대학에 간 사람이 된 거지. 하지만 전부 가슴이 있는 채로.
1|이봐! 누가 이 파티를 주최하는 사람 봤어? 찾아서 내가 도착했다고 알려줄 수 있어?
2|이 파티를 주최한 사람 찾았어?
3|아, 네, 죄송해요. 사교 기술, 사교 기술! 저는 Liz Katz이고, 만나서 반가워요. 늦어서 죄송해요. 누구를 살해하고 싶은지, 아니면 피를 보고 싶지 않은 곳에 대한 제안이 있으신가요?
4|음, 사실 저는 보통 Mortal Kombat 같은 수준의 피를 보는 것을 추구하지는 않지만, 때로는 제 최선의 의도에도 불구하고 가짜 피가 양탄자, 벽, 애완 동물의 침대 같은 곳에 묻기도 해요... 그래서 저는 제 살인에 대한 한계를 알고 싶어요.
5|저는 배트맨이에요. 아니, 죄송해요. 저는 Liz예요. 뛰어난 미스터리 파티 주최자죠! ... 당신의 파티를 위해서, 요청하신 대로.
6|사실, 청구서 사본을 가져왔어요. 주문은 Instagasm에서 이루어졌고, 다음과 같이 적혀 있었죠...
7|음, 여기가 맞는 주소예요. 이미 전액을 미리 지불받았고요... 그리고 오늘 밤에 오라고 요청받았어요. 이 특정 시간에. 좋아요, 좋아요, 조금 늦었네요... 저는 완전한 쇼를 보여주는 것에 조금 흥분했거든요, 최고의 경험... 아무튼, 이미 여기 있으니...
8|음, 이미 신비한 후원자 덕분에 돈을 받았어요... 그리고 장난감과 의상으로 가득 찬 트렁크가 있죠. 여기 오려고 퇴근 후 모임을 예상보다 조금 일찍 떠나야 했어요. 그러니, 음... 파티를 즐겨요.
9|젠장. 작은 파티가 누구를 죽인 적은 없잖아, 그렇지 않아? 게다가, 이 근육질 남자가 내가 트렁크를 정리하면 구경시켜 줄 수 있을 거야.
9.1|젠장. 작은 파티가 누구를 죽인 적은 없잖아, 그렇지 않아? 게다가, 이 매력적인 아가씨가 내가 트렁크를 정리하면 구경시켜 줄 수 있을 거야.
10|아직요. 잠가두고 있어요. 그 안에 값비싼 물건들이 많고, 이 파티를 조금 너무 미치게 만들 수 있는 다른 것들도 있죠.
11|오, 고마워요! 중력 방지 장치로 커스터마이징할 수 있다면 정말 좋을 텐데... 그리고 제 자신의 Morocco Mole 복장을 갖는 것도 좋을 텐데요.
12|물론이죠... 나중에 열 수 있을지도 모르죠. 하지만 먼저 이 파티에 대해 더 잘 알고, 당신과 다른 사람들을 알아야 해요.
13|음... 저는 먼저 손님들과 시간을 보내면서 그들의 두려움을 알아내고 파티의 진행 방식을 파악하는 것으로 시작해요. 그리고 그들이 가장 예상치 못할 때... 저는 모두에게 살인이 일어났다는 것을 알리는 미리 계획된 이벤트를 시작하고, 수수께끼를 푸는 데 도움이 되도록 여기저기에 단서를 남겨두죠. 재밌어요!
14|아니요. 가장 중요한 부분은 여러 반전이 있는 놀라운 이야기를 갖는 거예요. 예를 들어, "누군가가 돈 때문에 피해자를 죽였다"거나, 적어도 저는 당신이 그렇게 믿게 만들고 싶어요. 하지만 나중에 당신은 누군가의 사촌이 유산을 원해서 다른 사람을 함정에 빠뜨렸다는 것을 알게 되죠. 하지만 그것도 잘못된 단서예요. 그 사촌의 가장 친한 친구는 사실 비밀리에 훈련된 암살자였고, 그들은 결국 피해자를 죽이고 싶었기 때문에 사촌에게 다른 사람을 함정에 빠뜨리라고 시켰죠. 왜냐하면 피해자가 지역 바텐더의 아내를 죽였기 때문이죠. 제가 무슨 말을 하는지 아시겠어요?
